"","Graminoids","Herbaceous","Shrubs-Micro","Shrubs-Quad","Trees"
"Acer platanoides",0,0,0,0,1
"Ailanthus altissima",0,0,0,0,1
"Akebia quinata",0,1,0,0,0
"Albizia julibrissin",0,0,0,0,1
"Alliaria petiolata",0,1,0,0,0
"Ampelopsis brevipedunculata",0,1,0,0,0
"Aralia elata",0,0,0,0,1
"Berberis thunbergii",0,1,0,0,0
"Catalpa bignonioides",0,0,0,0,1
"Catalpa speciosa",0,0,0,0,1
"Celastrus orbiculatus",0,1,0,0,0
"Cirsium arvense",0,1,0,0,0
"Clematis terniflora",0,1,0,0,0
"Duchesnea indica",0,1,0,0,0
"Elaeagnus pungens",0,0,1,0,0
"Elaeagnus umbellata",0,0,1,0,0
"Euonymus alatus",0,0,1,0,0
"Euonymus fortunei",0,1,0,0,0
"Glechoma hederacea",0,1,0,0,0
"Gleditsia triacanthos",0,0,0,0,1
"Gymnocladus dioicus",0,0,0,0,1
"Hedera helix",0,1,0,0,0
"Hemerocallis fulva",0,1,0,0,0
"Iris pseudacorus",0,1,0,0,0
"Lespedeza cuneata",0,1,0,0,0
"Ligustrum obtusifolium",0,0,1,0,0
"Ligustrum ovalifolium",0,0,1,0,0
"Ligustrum sinense",0,0,1,0,0
"Ligustrum vulgare",0,0,1,0,0
"Lonicera japonica",0,1,0,0,0
"Lonicera maackii",0,0,1,0,1
"Lonicera morrowii",0,0,1,0,0
"Maclura pomifera",0,0,0,0,1
"Magnolia grandiflora",0,0,0,0,1
"Malus baccata",0,0,0,0,1
"Malus floribunda",0,0,0,0,1
"Malus prunifolia",0,0,0,0,1
"Malus sieboldii",0,0,0,0,1
"Malus spp.",0,0,0,0,1
"Microstegium vimineum",1,0,0,0,0
"Morus alba",0,0,0,0,1
"Paulownia tomentosa",0,0,0,0,1
"Phellodendron lavallei",0,0,0,0,1
"Polygonum cuspidatum",0,1,0,0,0
"Polygonum perfoliatum",0,1,0,0,0
"Prunus avium",0,0,0,0,1
"Pueraria montana",0,1,0,0,0
"Pyrus betulifolia",0,0,0,0,1
"Pyrus calleryana",0,0,0,0,1
"Pyrus communis",0,0,0,0,1
"Pyrus pyrifolia",0,0,0,0,1
"Pyrus spp.",0,0,0,0,1
"Ranunculus ficaria",0,1,0,0,0
"Rhodotypos scandens",0,0,1,0,0
"Robinia pseudoacacia",0,0,0,0,1
"Rosa multiflora",0,0,0,1,0
"Rosaceae Family",0,0,0,0,1
"Rubus phoenicolasius",0,0,0,1,0
"Sophora japonica",0,0,0,0,1
"Spiraea japonica",0,0,1,0,0
"Ulmus pumila",0,0,0,0,1
"Viburnum lantana",0,0,1,0,0
"Viburnum plicatum",0,0,1,0,0
"Viburnum sieboldii",0,0,1,0,0
"Vinca minor",0,1,0,0,0
"Wisteria sinensis",0,1,0,0,0
